,Periods,Price
806,4/1/1993,903.55
807,5/1/1993,903.55
808,6/1/1993,903.55
809,7/1/1993,903.55
810,8/1/1993,903.55
811,11/1/1993,903.55
812,12/1/1993,903.55
813,13/1/1993,903.55
814,14/1/1993,903.55
815,15/1/1993,903.55
816,18/1/1993,903.55
817,19/1/1993,903.55
818,20/1/1993,903.55
819,21/1/1993,903.55
820,22/1/1993,903.55
821,25/1/1993,903.55
822,26/1/1993,903.55
823,27/1/1993,903.55
824,28/1/1993,903.55
825,29/1/1993,906.301
826,1/2/1993,906.301
827,2/2/1993,906.301
828,3/2/1993,906.301
829,4/2/1993,906.301
830,5/2/1993,906.301
831,8/2/1993,906.301
832,9/2/1993,906.301
833,10/2/1993,906.301
834,11/2/1993,906.301
835,12/2/1993,906.301
836,15/2/1993,906.301
837,16/2/1993,906.301
838,17/2/1993,906.301
839,18/2/1993,906.301
840,19/2/1993,906.301
841,22/2/1993,906.301
842,23/2/1993,906.301
843,24/2/1993,906.301
844,25/2/1993,906.301
845,26/2/1993,927.499
846,1/3/1993,927.499
847,2/3/1993,927.499
848,3/3/1993,927.499
849,4/3/1993,927.499
850,5/3/1993,927.499
851,8/3/1993,927.499
852,9/3/1993,927.499
853,10/3/1993,927.499
854,11/3/1993,927.499
855,12/3/1993,927.499
856,15/3/1993,927.499
857,16/3/1993,927.499
858,17/3/1993,927.499
859,18/3/1993,927.499
860,19/3/1993,927.499
861,22/3/1993,927.499
862,23/3/1993,927.499
863,24/3/1993,927.499
864,25/3/1993,927.499
865,26/3/1993,927.499
866,29/3/1993,927.499
867,30/3/1993,927.499
868,31/3/1993,981.0
869,1/4/1993,981.0
870,2/4/1993,981.0
871,5/4/1993,981.0
872,6/4/1993,981.0
873,7/4/1993,981.0
874,8/4/1993,981.0
875,9/4/1993,981.0
876,12/4/1993,981.0
877,13/4/1993,981.0
878,14/4/1993,981.0
879,15/4/1993,981.0
880,16/4/1993,981.0
881,19/4/1993,981.0
882,20/4/1993,981.0
883,21/4/1993,981.0
884,22/4/1993,981.0
885,23/4/1993,981.0
886,26/4/1993,981.0
887,27/4/1993,981.0
888,28/4/1993,981.0
889,29/4/1993,981.0
890,30/4/1993,1026.195
891,3/5/1993,1026.195
892,4/5/1993,1026.195
893,5/5/1993,1026.195
894,6/5/1993,1026.195
895,7/5/1993,1026.195
896,10/5/1993,1026.195
897,11/5/1993,1026.195
898,12/5/1993,1026.195
899,13/5/1993,1026.195
900,14/5/1993,1026.195
901,17/5/1993,1026.195
902,18/5/1993,1026.195
903,19/5/1993,1026.195
904,20/5/1993,1026.195
905,21/5/1993,1026.195
906,24/5/1993,1026.195
907,25/5/1993,1026.195
908,26/5/1993,1026.195
909,27/5/1993,1026.195
910,28/5/1993,1026.195
911,31/5/1993,1049.573
912,1/6/1993,1049.573
913,2/6/1993,1049.573
914,3/6/1993,1049.573
915,4/6/1993,1049.573
916,7/6/1993,1049.573
917,8/6/1993,1049.573
918,9/6/1993,1049.573
919,10/6/1993,1049.573
920,11/6/1993,1049.573
921,14/6/1993,1049.573
922,15/6/1993,1049.573
923,16/6/1993,1049.573
924,17/6/1993,1049.573
925,18/6/1993,1049.573
926,21/6/1993,1049.573
927,22/6/1993,1049.573
928,23/6/1993,1049.573
929,24/6/1993,1049.573
930,25/6/1993,1049.573
931,28/6/1993,1049.573
932,29/6/1993,1049.573
933,30/6/1993,1040.498
934,1/7/1993,1040.498
935,2/7/1993,1040.498
936,5/7/1993,1040.498
937,6/7/1993,1040.498
938,7/7/1993,1040.498
939,8/7/1993,1040.498
940,9/7/1993,1040.498
941,12/7/1993,1040.498
942,13/7/1993,1040.498
943,14/7/1993,1040.498
944,15/7/1993,1040.498
945,16/7/1993,1040.498
946,19/7/1993,1040.498
947,20/7/1993,1040.498
948,21/7/1993,1040.498
949,22/7/1993,1040.498
950,23/7/1993,1040.498
951,26/7/1993,1040.498
952,27/7/1993,1040.498
953,28/7/1993,1040.498
954,29/7/1993,1040.498
955,30/7/1993,1061.664
956,2/8/1993,1061.664
957,3/8/1993,1061.664
958,4/8/1993,1061.664
959,5/8/1993,1061.664
960,6/8/1993,1061.664
961,9/8/1993,1061.664
962,10/8/1993,1061.664
963,11/8/1993,1061.664
964,12/8/1993,1061.664
965,13/8/1993,1061.664
966,16/8/1993,1061.664
967,17/8/1993,1061.664
968,18/8/1993,1061.664
969,19/8/1993,1061.664
970,20/8/1993,1061.664
971,23/8/1993,1061.664
972,24/8/1993,1061.664
973,25/8/1993,1061.664
974,26/8/1993,1061.664
975,27/8/1993,1061.664
976,30/8/1993,1061.664
977,31/8/1993,1110.067
978,1/9/1993,1110.067
979,2/9/1993,1110.067
980,3/9/1993,1110.067
981,6/9/1993,1110.067
982,7/9/1993,1110.067
983,8/9/1993,1110.067
984,9/9/1993,1110.067
985,10/9/1993,1110.067
986,13/9/1993,1110.067
987,14/9/1993,1110.067
988,15/9/1993,1110.067
989,16/9/1993,1110.067
990,17/9/1993,1110.067
991,20/9/1993,1110.067
992,21/9/1993,1110.067
993,22/9/1993,1110.067
994,23/9/1993,1110.067
995,24/9/1993,1110.067
996,27/9/1993,1110.067
997,28/9/1993,1110.067
998,29/9/1993,1110.067
999,30/9/1993,1089.292
1000,1/10/1993,1089.292
1001,4/10/1993,1089.292
1002,5/10/1993,1089.292
1003,6/10/1993,1089.292
1004,7/10/1993,1089.292
1005,8/10/1993,1089.292
1006,11/10/1993,1089.292
1007,12/10/1993,1089.292
1008,13/10/1993,1089.292
1009,14/10/1993,1089.292
1010,15/10/1993,1089.292
1011,18/10/1993,1089.292
1012,19/10/1993,1089.292
1013,20/10/1993,1089.292
1014,21/10/1993,1089.292
1015,22/10/1993,1089.292
1016,25/10/1993,1089.292
1017,26/10/1993,1089.292
1018,27/10/1993,1089.292
1019,28/10/1993,1089.292
1020,29/10/1993,1119.047
1021,1/11/1993,1119.047
1022,2/11/1993,1119.047
1023,3/11/1993,1119.047
1024,4/11/1993,1119.047
1025,5/11/1993,1119.047
1026,8/11/1993,1119.047
1027,9/11/1993,1119.047
1028,10/11/1993,1119.047
1029,11/11/1993,1119.047
1030,12/11/1993,1119.047
1031,15/11/1993,1119.047
1032,16/11/1993,1119.047
1033,17/11/1993,1119.047
1034,18/11/1993,1119.047
1035,19/11/1993,1119.047
1036,22/11/1993,1119.047
1037,23/11/1993,1119.047
1038,24/11/1993,1119.047
1039,25/11/1993,1119.047
1040,26/11/1993,1119.047
1041,29/11/1993,1119.047
1042,30/11/1993,1055.482
1043,1/12/1993,1055.482
1044,2/12/1993,1055.482
1045,3/12/1993,1055.482
1046,6/12/1993,1055.482
1047,7/12/1993,1055.482
1048,8/12/1993,1055.482
1049,9/12/1993,1055.482
1050,10/12/1993,1055.482
1051,13/12/1993,1055.482
1052,14/12/1993,1055.482
1053,15/12/1993,1055.482
1054,16/12/1993,1055.482
1055,17/12/1993,1055.482
